city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
san patricio,mx,2.3800000000472608,-115.08000000005904,19.22,-104.7,82.4,74,20,4.16
rikitea,pf,-72.92999999999127,-136.94000000003916,-23.12,-134.97,77.84,100,92,20.09
yellowknife,ca,65.77000000007968,-112.04000000006181,62.45,-114.38,30.51,74,90,17.22
elbeuf,fr,49.210000000071204,0.839999999835527,49.29,1.01,45.81,70,44,8.05
oranzherei,ru,46.05000000006959,47.449999999793135,45.85,47.57,43.75,70,75,11.18
los llanos de aridane,es,28.740000000060746,-23.11000000014269,28.66,-17.92,61.92,63,40,12.75
kamina,cd,-8.40999999995826,24.869999999813672,-8.74,25,75.68,82,24,2.82
kodiak,us,58.61000000007601,-152.31000000002518,39.95,-94.76,46.24,13,1,3.36
bredasdorp,za,-82.06999999999594,25.269999999813308,-34.53,20.04,71.29,78,44,8.05
hannan,jp,34.350000000063616,135.20999999971332,34.32,135.23,49.84,71,90,6.93
butaritari,ki,16.320000000054392,167.61999999968384,3.07,172.79,81.71,100,64,16.46
lompoc,us,23.55000000005809,-134.90000000004102,34.64,-120.46,66.24,67,1,4.76
arraial do cabo,br,-44.62999999997679,-21.76000000014392,-22.97,-42.02,89.65,74,20,20.8
dali,cn,26.740000000059723,100.29999999974507,25.6,100.24,54.71,69,12,5.28
norman wells,ca,70.65000000008217,-127.61000000004765,65.28,-126.83,33.8,69,75,3.36
lebu,cl,-35.20999999997197,-80.0500000000909,-37.62,-73.65,56.15,92,0,18.92
poum,nc,-18.429999999963385,157.95999999969263,-20.23,164.02,80.45,100,0,6.62
bonfim,br,1.5800000000468515,-58.21000000011077,-20.33,-44.24,86,48,40,8.05
port hardy,ca,45.930000000069526,-134.57000000004132,50.7,-127.42,44.6,81,5,3.36
stephenville,ca,49.50000000007137,-59.81000000010931,48.55,-58.59,23,73,75,12.75
acapulco,mx,7.3600000000498085,-104.5800000000686,16.86,-99.88,86,70,20,5.82
hermanus,za,-64.41999999998691,9.999999999827196,-34.42,19.24,69.33,85,24,3
igrim,ru,63.67000000007863,64.20999999977789,63.19,64.42,22.49,87,20,5.17
puerto ayora,ec,-18.939999999963646,-108.00000000006548,-0.74,-90.35,82.42,62,0,8.05
sept-iles,ca,54.460000000073904,-65.61000000010404,50.2,-66.38,19.18,48,90,12.75
jamestown,sh,-18.27999999996331,-4.87000000015928,-15.94,-5.72,76.31,100,0,7.63
natal,br,-2.1199999999550414,-26.950000000139198,-5.81,-35.21,86.88,62,20,11.41
port-gentil,ga,-4.999999999956515,1.2199999998351814,-0.72,8.78,84.2,83,40,6.93
padang,id,-6.929999999957502,91.10999999975343,-0.92,100.36,78.8,88,20,4.7
lucea,jm,19.17000000005585,-78.57000000009225,18.44,-78.17,83.19,66,20,10.29
bathsheba,bb,19.50000000005602,-46.34000000012156,13.22,-59.52,84.2,58,20,17.22
bilibino,ru,68.96000000008132,167.7899999996837,68.06,166.44,-20.72,56,56,2.93
kruisfontein,za,-54.26999999998172,25.809999999812817,-34,24.73,69.47,94,92,6.29
mareeba,au,-13.1799999999607,144.62999999970475,-16.99,145.42,75.27,83,75,10.29
klaksvik,fo,69.23000000008147,-3.1900000001608078,62.23,-6.59,42.8,87,75,11.41
dunedin,nz,-54.40999999998179,179.4199999996731,-45.87,170.5,59,89,56,8.01
boguchany,ru,58.760000000076104,97.49999999974762,58.38,97.46,16.37,75,64,4.05
georgetown,sh,-13.969999999961104,-17.830000000147493,-7.93,-14.42,82.43,100,0,8.68
mount isa,au,-18.699999999963524,139.88999999970906,-20.73,139.49,64.4,55,0,3.42
vaini,to,-79.84999999999481,-175.54000000000406,-21.2,-175.2,73.4,94,20,5.82
freeport,us,27.75000000006024,-94.76000000007753,42.3,-89.62,40.08,55,75,7.34
kloulklubed,pw,4.49000000004834,135.85999999971273,7.04,134.26,75.2,94,90,3.36
pangkalanbuun,id,-3.219999999955604,112.10999999973433,-2.68,111.62,74.78,92,80,3.53
saint-philippe,re,-53.669999999981414,67.41999999977497,-21.36,55.77,76.17,74,0,4.7
mahebourg,mu,-44.99999999997698,72.27999999977055,-20.41,57.7,82.18,78,40,8.05
tecoanapa,mx,12.72000000005255,-100.23000000007255,16.99,-99.26,86,70,20,5.82
barrow,us,85.30000000008968,-147.54000000002952,39.51,-90.4,46.76,52,75,4.88
hilo,us,6.220000000049225,-164.23000000001434,19.71,-155.08,65.39,64,90,4.7
albany,au,-56.15999999998269,115.89999999973088,-35.02,117.88,66.2,93,8,10.29
mackenzie,ca,56.92000000007516,-124.78000000005022,55.34,-123.09,37.4,74,1,6.93
cidreira,br,-56.289999999982754,-23.400000000142427,-30.17,-50.22,71.99,100,92,8.97
aviles,es,45.42000000006928,-6.520000000157779,43.55,-5.92,52.21,71,20,2.24
saint george,bm,30.090000000061437,-49.51000000011868,32.38,-64.68,58.82,82,90,14.99
guapi,co,2.470000000047307,-77.83000000009292,2.57,-77.89,78.38,91,88,3.04
pochinki,ru,54.410000000073865,44.81999999979553,54.7,44.85,28.97,100,0,5.55
kirakira,sb,-14.799999999961528,161.20999999968967,-10.46,161.92,83.33,100,68,8.57
hofn,is,63.260000000078406,-14.780000000150267,64.25,-15.21,41,93,90,4.7
bonthe,sl,4.910000000048555,-16.27000000014891,7.53,-12.5,87.65,61,0,7.45
conceicao do araguaia,br,-8.789999999958454,-50.83000000011748,-8.26,-49.26,87.47,93,0,4.61
kapaa,us,8.75000000005052,-168.27000000001067,22.08,-159.32,67.15,68,90,5.82
presidente dutra,br,-5.289999999956663,-44.12000000012358,-5.29,-44.49,87.02,73,20,3.38
flinders,au,-34.8799999999718,129.89999999971815,-34.58,150.85,65.77,100,75,6.93
gornopravdinsk,ru,61.250000000077364,69.28999999977327,60.06,69.92,26.09,78,88,6.44
sioux lookout,ca,53.830000000073596,-91.59000000008041,50.1,-91.92,33.8,59,75,5.32
sobolevo,ru,56.91000000007517,155.75999999969463,54.43,31.9,44.54,90,100,9.64
nelson,ca,49.360000000071295,-117.41000000005693,49.49,-117.29,50,46,0,1.01
severinia,br,-20.89999999996465,-48.8300000001193,-20.81,-48.8,89.6,52,75,4.7
tiksi,ru,83.85000000008893,131.3899999997168,71.64,128.87,-24.5,36,24,3.6
kingaroy,au,-25.659999999967084,150.88999999969906,-26.54,151.84,60.8,100,90,3.27
mar del plata,ar,-56.62999999998293,-39.720000000127584,-46.43,-67.52,61.55,43,76,18.92
ovalle,cl,-30.259999999969438,-71.19000000009896,-30.6,-71.2,72.89,85,12,4.05
carora,ve,9.930000000051123,-70.25000000009982,10.17,-70.08,92.42,34,12,13.49
roma,au,-26.03999999996728,148.90999999970086,-26.57,148.79,59.21,85,0,2.75
labuhan,id,-9.459999999958796,103.3499999997423,-2.54,115.51,72.17,95,76,1.81
kaduqli,sd,11.170000000051758,29.60999999980936,11.01,29.72,77.21,34,0,4.61
rubiataba,br,-15.199999999961733,-49.800000000118416,-15.16,-49.8,86.39,78,8,4.94
ancud,cl,-39.069999999973945,-104.92000000006828,-41.87,-73.83,51.8,81,75,12.75
alofi,nu,-19.78999999996408,-170.23000000000889,-19.06,-169.92,75.2,94,75,8.97
hasaki,jp,32.31000000006257,150.15999999969972,35.73,140.83,46.89,81,75,3.36
victoria,sc,-8.4899999999583,59.5799999997821,-4.62,55.45,78.8,88,20,2.24
darhan,mn,44.220000000068666,108.74999999973738,49.49,105.92,20.87,56,88,14.45
dolinsk,ru,47.28000000007023,142.94999999970628,47.32,142.8,37.4,86,75,8.95
